feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
MAF1	-0.114	-0.215	-0.396	-0.739	-0.438	-0.824	-0.604	-1.333	-0.996	-0.631	-0.347	-0.406	-0.291	-1.165	-0.609	0.086	0.533	0.287	0.044	-0.613	-0.068	-0.134	0.088
DSCAML1	4.495	3.808	3.596	3.658	2.302	4.172	3.468	3.963	3.365	4.133	3.544	3.508	4.252	3.036	4.083	4.008	3.166	4.572	3.750	4.279	3.437	3.946	3.668
MYO1E	0.208	-0.721	-0.556	-0.525	-0.476	-0.863	-1.060	-0.583	-0.214	-0.609	-0.524	-0.911	-0.565	-0.510	0.253	0.655	0.947	1.083	-0.424	0.396	-0.024	-0.052	0.334
VIPR1	-0.932	0.886	0.541	-1.066	0.572	-1.396	-0.135	-0.351	-1.065	-1.037	-0.378	0.466	-0.695	-0.945	0.735	-0.638	-0.646	-0.606	-0.607	-0.413	-0.583	0.018	0.178
DARC	2.034	2.957	3.800	3.025	1.670	2.342	2.417	1.585	1.784	2.750	2.838	2.427	2.817	4.767	3.583	3.543	2.310	1.319	2.784	4.075	2.357	3.056	3.302
COPB2	-0.625	-0.377	-0.232	-0.024	-0.046	-0.292	-0.670	-0.070	-0.432	-0.084	-0.407	-0.043	0.013	0.050	-0.044	0.023	0.617	0.021	-0.178	0.543	0.173	-0.061	0.342
DNTT	-3.214	-4.105	-4.276	-3.866	-3.578	-4.249	-5.162	-4.934	-4.853	-4.052	-3.667	-3.558	-4.923	-3.472	-5.478	-4.207	-5.058	-5.023	-3.988	-4.084	-4.966	-4.857	-5.278
LGI1	-1.787	-2.365	-2.026	-1.195	-3.319	-3.383	-2.371	-2.086	-1.561	-3.788	-1.922	-2.089	-0.641	-1.145	-1.870	-2.580	-2.192	-0.447	-1.393	-1.928	-1.034	-1.844	-2.648
MGC34821	5.266	3.435	2.344	0.463	-0.252	3.882	4.800	1.787	-0.018	2.643	0.976	1.375	2.538	0.081	4.596	0.166	0.215	0.706	2.066	3.099	0.382	2.378	2.686
NEK10	-0.288	-0.309	0.277	0.695	-0.472	-0.816	-0.980	-0.855	-0.866	-0.962	-0.789	-0.797	-0.022	0.112	-0.079	0.552	-0.185	0.316	-0.344	0.007	0.327	-1.004	-0.383
FETUB	-1.801	-1.331	-1.744	-1.521	-2.804	-1.377	-1.393	-2.337	-1.450	-1.116	-1.030	-0.997	-2.039	2.038	-1.827	-1.774	-0.469	-1.760	-1.734	1.107	0.139	-1.772	-1.180
WARS	-0.971	0.145	-0.175	-0.021	-0.902	-0.842	-0.271	0.411	-0.925	-0.326	0.680	-0.855	-0.809	-0.182	-0.718	-0.175	1.225	-1.151	0.278	0.620	-0.279	-0.343	-0.047
DGAT2	-1.746	-2.633	-1.918	-2.388	-3.257	-2.921	-3.240	-3.904	-1.887	-2.332	-1.364	-1.762	-2.821	-2.264	-3.742	-2.173	-1.890	-0.800	-1.513	-0.939	-1.845	-2.795	-0.556
SDC4	1.063	0.921	0.334	0.255	1.652	1.299	1.685	1.145	0.841	0.461	0.772	0.893	1.487	1.333	0.133	0.572	0.684	1.373	0.148	1.259	1.112	1.019	1.342
DOLPP1	-0.651	-0.987	-0.971	-0.988	-1.177	-0.819	-1.174	-1.065	-1.525	-1.288	-0.956	-0.947	-1.377	-0.492	-1.126	-0.861	-0.447	-1.101	-0.991	-0.836	-0.948	-1.023	-0.704
STS	-2.199	-1.933	-1.234	-1.829	-2.044	-0.701	-1.047	-1.637	-1.890	-0.748	-1.675	-1.382	-1.306	-0.613	-1.028	-0.871	-1.105	-1.237	-1.066	-0.808	-0.107	-0.690	-0.985
SLC7A2	-2.152	-2.010	-1.892	-1.818	-1.650	-2.383	-1.936	-2.417	-0.772	-1.755	-2.089	-1.998	-2.036	-1.796	-2.078	-1.099	-2.311	-2.128	-1.759	-1.974	-1.430	-1.500	-1.743
SIRT1	0.266	0.566	0.495	-0.062	-0.093	1.010	0.759	0.291	0.841	0.449	0.719	0.344	0.490	0.051	0.805	0.265	-0.012	-0.790	0.944	0.414	-0.093	0.512	0.099
WBSCR19	0.018	0.139	0.449	1.205	0.525	0.087	0.164	1.274	0.759	0.397	-0.016	0.136	0.402	0.302	0.445	1.075	0.514	1.176	0.110	0.390	-0.068	0.173	0.198
JUB	-1.782	0.381	-0.564	-1.462	-3.045	0.760	-0.742	0.630	-0.574	0.152	-0.282	-0.717	-0.259	-0.737	0.640	-0.525	-0.224	-1.016	0.130	0.443	-1.076	0.399	-0.127
ARMCX5	0.700	0.285	0.003	-0.107	0.706	0.749	1.002	0.142	1.093	0.338	-0.013	0.693	0.460	-0.255	0.445	-0.394	-0.002	-1.032	0.404	-0.170	0.294	0.438	-0.270
UBE2C	-2.792	-2.268	-2.856	-0.477	-3.473	-3.151	-3.109	-3.089	-2.845	-2.059	-2.152	-2.095	-2.935	-1.473	-3.431	-2.078	-1.486	-2.290	-3.087	-2.422	-2.729	-3.438	-3.414
LOC283345	0.757	-0.119	-0.062	1.064	0.076	-0.404	-0.744	-0.058	-0.127	1.199	-0.413	-0.378	-0.150	0.265	0.340	0.800	1.190	1.405	-0.308	0.160	0.694	-0.249	0.387
FNTA	0.497	0.245	-0.004	0.334	0.205	0.121	0.233	-0.393	-0.144	-0.050	-0.113	-0.028	0.103	-0.415	0.435	0.055	0.398	-0.885	0.427	-0.066	-0.121	-0.369	-0.028
FBXW5	-0.022	0.552	1.270	0.536	0.292	0.022	-0.579	-0.374	-0.657	0.532	0.320	0.486	0.123	0.840	-0.293	0.636	0.648	1.276	0.168	0.582	0.124	0.377	0.105
FKBP1B	0.208	-0.889	-1.044	-0.370	-0.612	-2.381	-1.415	-2.252	0.412	-1.071	0.401	-0.367	-1.089	-0.947	-1.186	-1.446	-1.799	-2.432	-1.647	-1.860	-1.560	-1.742	-2.068
LYZ	0.952	2.622	1.020	1.178	-1.854	-0.647	1.962	0.651	-0.261	1.875	2.650	1.316	-0.019	0.719	1.476	2.084	1.363	-1.910	0.788	1.625	3.102	0.178	1.400
TMBIM4	1.803	1.198	0.665	0.738	1.609	1.546	1.608	1.391	0.912	0.856	1.448	1.451	1.283	0.851	1.221	1.144	0.570	0.668	1.445	1.017	1.329	1.298	1.021
LDOC1	-0.070	-0.030	0.117	-1.076	-1.669	-0.803	-0.288	-1.028	-0.258	-0.693	-0.547	-0.452	0.007	-0.550	-0.459	-0.710	-0.592	-0.798	0.161	-0.203	-0.143	-0.171	-0.111
UBAP2L	-1.240	-0.960	-0.753	-0.514	-1.643	-1.153	-1.658	-1.167	-1.243	-0.410	-1.207	-0.867	-0.731	-0.368	-1.380	-0.612	-0.769	-0.176	-1.188	-0.688	-0.639	-1.438	-1.154
HPRT1	-0.553	-1.797	-1.381	-1.374	0.942	-0.673	-0.695	-0.955	-1.160	-0.945	-1.194	-0.811	-1.080	-0.994	-1.797	-1.628	-1.192	-2.023	-1.175	-1.288	-1.024	-0.900	-1.279
LGMN	0.596	0.484	-0.032	0.320	0.279	-0.549	0.075	-0.341	0.335	0.742	1.399	0.178	0.429	0.891	0.463	0.609	0.395	-0.905	0.262	0.463	0.007	0.294	0.217
SERPINB2	-4.226	-4.970	-5.077	-4.488	-5.271	-4.936	-5.212	-5.888	-3.312	-4.307	-4.200	-3.923	-5.086	-4.458	-5.745	-4.958	-6.079	-4.802	-4.794	-4.909	-5.765	-5.254	-5.078
WDR34	-1.054	-0.860	-0.468	-0.716	-1.351	-1.057	-1.433	-1.004	-1.176	-1.005	-0.516	-0.582	-0.745	-0.345	-0.533	-0.136	-0.502	0.298	-0.369	-0.079	-1.110	-0.594	-0.488
ZC3H14	-1.332	-0.562	-1.111	-1.078	-0.687	-0.864	-0.919	-1.028	-0.980	-0.918	-0.562	-0.883	-0.608	-1.024	-0.565	-0.940	-0.696	-1.116	-0.420	-1.083	-1.149	-0.606	-0.695
BEX2	0.710	1.471	0.777	-2.048	-1.363	-1.606	-3.337	-3.408	1.302	-0.100	1.295	0.892	-3.796	-1.098	-1.860	0.429	-0.568	0.224	2.726	0.913	0.424	-0.111	-3.042
TWISTNB	-0.644	-0.770	-0.667	-0.988	0.539	-0.020	-0.244	-0.143	0.082	-0.527	0.158	0.125	-0.095	0.340	-0.494	-0.048	-1.049	-0.631	-0.207	-0.293	-0.756	-0.202	-0.618
NRG2	-1.041	-0.068	0.045	-1.415	1.575	-0.369	-0.214	0.171	1.046	-1.130	-0.984	-0.401	-0.878	0.055	0.010	-0.885	-0.963	-0.737	0.662	-0.552	-0.787	0.379	-0.134
PIK3R1	2.171	1.251	0.867	0.298	0.865	1.449	1.007	2.587	1.137	1.777	1.438	1.266	1.984	0.864	1.845	1.143	1.388	0.834	1.632	1.432	0.797	1.155	2.071
SLC39A9	0.052	0.816	-0.031	-0.465	0.257	0.959	0.886	0.442	0.131	0.411	0.373	0.278	0.456	0.126	0.715	-0.170	-0.199	-1.205	0.349	0.033	-0.012	0.728	0.254
MLH1	-0.353	-0.770	-0.837	-0.535	0.035	-0.673	-0.838	-0.482	-0.490	-0.824	-1.277	-0.846	-0.978	-0.973	-0.649	-1.246	-0.949	-1.885	-1.113	-1.315	-0.820	-0.497	-0.688
TRIM29	-1.622	-1.965	-1.834	-0.963	-1.214	-2.421	-2.474	-2.947	-2.383	-1.753	-1.520	-1.494	-1.921	-1.576	-2.779	-1.180	-0.207	-1.055	-1.910	-0.671	-0.386	-2.430	-2.648
ARMC2	-0.644	0.857	0.945	0.109	0.365	0.151	0.461	-0.295	-0.612	0.509	-0.524	-0.549	0.089	-0.430	-0.220	-0.404	-0.008	0.272	-0.042	-0.936	-0.124	-0.266	-0.045
RNASEH2B	-0.402	-0.715	-1.218	-0.892	-0.778	-1.169	-0.706	-0.878	-1.315	-1.134	-0.984	-0.734	-1.220	-1.446	-0.934	-1.363	-1.289	-2.460	-1.769	-1.054	-0.873	-1.112	-1.216
PPM1E	-1.459	-1.836	-1.673	-2.350	3.094	-1.891	-1.070	-1.643	-2.142	-2.111	-1.677	-1.577	-2.094	-2.229	-1.382	-2.164	-2.615	-1.993	-1.504	-2.453	-1.916	-2.403	-1.307
RPL3L	0.941	0.923	0.560	1.095	0.319	1.562	1.421	0.009	0.392	1.278	0.661	1.798	1.000	0.603	-0.125	-0.292	-0.271	0.040	0.721	0.321	0.657	0.779	0.126
C1orf144	0.181	1.126	0.438	0.149	-0.139	0.742	1.002	0.581	0.111	0.174	1.297	1.479	0.845	0.993	0.178	0.141	0.473	0.463	0.593	-0.035	0.328	0.501	0.458
ZNF22	0.358	1.202	0.304	1.699	0.798	1.184	1.169	0.981	1.411	0.294	0.445	0.562	0.090	0.012	1.402	0.242	1.053	-0.271	1.125	0.584	0.253	0.975	0.351
TUBB4	-0.872	-1.053	-1.147	-0.728	-1.465	-1.061	-1.295	-1.832	-0.772	-0.868	-0.847	-0.878	-1.239	-1.145	-1.353	-0.592	-0.356	-0.394	-0.828	-0.841	-0.669	-0.651	-0.810
RGMA	-1.719	-1.393	-1.446	-1.312	-0.427	-1.548	-0.819	-1.006	-0.361	-1.336	-0.868	-0.914	-1.287	-0.731	-0.203	-0.017	-0.118	1.147	-1.219	-0.471	0.381	-0.560	-0.305
KRT13	-1.597	-1.527	-1.860	-1.421	0.078	-1.717	-1.928	-1.971	-1.788	-1.549	-1.160	-1.439	-1.938	-1.894	-1.953	-1.483	-1.877	-1.474	-1.833	-1.868	-2.042	-2.085	-1.938
KIF5C	-0.295	0.031	0.215	-0.344	-0.218	-0.269	0.011	0.110	-0.102	0.537	0.123	0.177	0.295	0.388	-0.430	-0.114	-0.618	-0.113	0.358	-0.471	-0.014	-0.071	-0.361
HTRA1	1.111	1.125	1.279	1.770	0.480	1.209	0.913	0.606	3.001	1.233	1.083	2.057	0.996	2.137	2.045	2.139	0.389	0.721	1.375	1.317	1.427	1.473	1.093
SLC22A10	-0.137	0.144	0.593	-0.414	-0.141	0.574	0.248	0.064	0.614	0.935	0.029	0.162	-0.195	-0.431	0.138	-0.090	0.481	0.598	0.268	0.670	0.522	0.021	0.585
RPL27A	0.234	0.177	0.068	0.538	0.046	0.412	0.702	-0.003	0.910	0.083	0.207	0.807	0.943	0.512	0.305	0.069	-0.516	0.008	0.459	0.374	0.320	0.310	-0.230
ZC3HC1	-0.219	0.519	0.190	0.020	-0.603	-0.025	0.361	-0.265	-0.015	0.328	0.425	0.008	-0.045	0.217	-0.018	0.653	0.146	0.785	0.188	0.236	-0.025	-0.075	0.972
C1orf152	0.561	0.247	0.450	0.297	-0.506	-0.120	0.005	0.471	-0.704	0.548	0.305	0.071	-0.204	0.602	-0.071	0.398	0.570	0.174	-0.199	0.180	0.450	-0.187	0.032
ZNF619	-0.126	-0.697	-0.477	-0.901	0.433	-0.373	-0.727	-0.596	-0.296	-0.307	-0.497	-0.360	-0.845	-0.781	0.164	-1.050	-1.078	-1.383	-0.260	-1.032	-0.938	0.068	-0.609
SPIRE2	0.197	-0.349	-0.529	-0.385	-0.016	-0.070	-0.732	-0.662	-0.025	0.390	0.588	0.826	0.117	0.159	-1.365	0.031	-0.439	0.057	-0.335	-0.464	-0.465	-0.695	-0.365
PLEKHA9	-1.435	-1.136	-0.791	0.599	-1.168	-1.695	-1.187	-0.826	-0.292	-0.435	-0.417	0.454	-0.973	0.391	-0.603	0.491	0.713	0.729	-0.960	-0.578	0.075	-1.073	0.035
USP35	-0.429	-0.738	-0.207	-0.436	0.493	-0.999	-1.252	-0.540	-1.215	-0.224	-0.499	-0.817	-0.638	0.427	-0.427	0.115	0.123	1.165	-0.765	0.215	0.081	-0.485	0.763
TYMS	-4.198	-2.171	-2.059	-1.920	-4.669	-1.038	-1.547	-1.035	-2.508	-1.970	-1.164	-1.881	-1.308	-2.088	-1.518	-2.594	-2.264	-3.235	-1.753	-2.115	-1.483	-1.603	-1.555
C9orf142	0.100	0.128	-0.280	-0.228	-0.736	-1.226	-0.460	-0.454	-1.478	-0.248	-0.126	-0.123	-0.585	0.139	-1.095	-0.090	0.103	0.029	-1.231	-0.341	-0.451	-0.958	-0.542
COBLL1	2.993	1.184	0.580	0.268	4.109	0.977	0.526	1.482	0.647	0.951	0.899	0.584	1.169	0.397	1.686	0.805	-0.243	0.078	0.807	1.529	-0.212	0.995	2.302
DPF3	0.179	0.193	-0.196	-0.131	-0.175	0.623	0.153	-0.140	-0.183	0.462	0.180	0.448	0.252	0.447	-0.043	-0.234	-0.241	0.073	-0.224	0.047	0.103	0.437	0.025
OR10H4	0.769	0.582	0.516	0.273	0.345	0.801	0.594	0.254	0.386	0.677	0.899	0.913	0.567	1.388	0.232	0.548	0.280	0.330	-0.156	0.230	0.713	0.766	0.112
UNC84A	-0.423	-0.189	-0.020	-0.474	0.610	0.024	-0.229	-0.056	-0.207	-0.309	-0.351	-0.794	0.181	-0.412	-0.142	0.269	-0.533	-0.710	-0.344	-0.490	-0.786	-0.245	-0.112
DKFZP564O0823	1.443	2.685	3.049	2.007	2.624	2.658	3.162	3.000	2.610	2.230	3.017	2.658	2.911	2.999	2.975	3.220	2.279	2.853	3.519	3.405	2.940	3.525	3.296
FGF10	1.272	0.908	-0.046	-0.741	0.138	1.506	0.252	0.326	0.192	-0.680	0.112	0.598	0.283	0.266	0.588	-0.640	0.369	-0.934	0.592	-0.560	0.667	-0.636	0.378
FLJ13611	1.551	0.882	0.272	-0.538	0.977	0.688	0.933	-0.013	-0.396	0.087	0.568	0.578	0.321	-0.836	0.308	-0.051	-0.352	-1.293	0.273	0.015	0.076	0.131	0.245
IHPK3	0.557	1.834	3.463	4.895	5.067	3.586	0.284	1.163	2.254	3.089	2.633	1.265	3.657	1.091	2.849	2.956	1.738	1.592	2.551	1.740	0.918	2.432	4.344
BMP15	0.139	0.438	0.053	0.051	-0.323	0.360	0.142	0.382	-0.141	0.449	0.003	0.065	0.356	0.225	0.304	0.495	0.489	0.775	0.334	0.159	0.421	0.301	0.148
RSAD1	-0.022	0.148	0.064	0.252	0.593	0.235	0.010	0.138	-0.406	-0.115	-0.195	-0.595	0.298	-0.172	0.020	0.062	0.042	1.109	-0.126	0.113	0.005	-0.072	0.367
TUBB	-1.693	-1.324	-1.524	-1.011	-2.161	-1.427	-1.688	-1.900	-1.546	-1.420	-1.435	-1.444	-1.597	-1.415	-1.823	-1.026	-0.442	-0.950	-1.203	-1.367	-1.067	-1.280	-1.394
MTMR4	-0.676	-1.055	-1.382	-0.730	0.233	-0.966	-1.233	-0.793	-0.679	-1.147	-1.239	-1.433	-0.850	-0.898	-0.461	-1.105	-0.023	-1.083	-0.592	-0.249	-0.773	-0.330	0.005
MS4A5	0.011	0.236	0.158	0.586	0.092	0.034	0.750	0.671	0.062	0.320	0.517	0.263	0.752	0.001	0.607	0.196	0.277	-0.314	0.254	0.000	-0.179	0.346	-0.013
TMEM109	-0.651	-0.113	-0.170	-0.933	0.511	-0.167	-0.074	-0.266	0.597	-0.185	0.171	-0.469	-0.093	-0.451	-0.236	-0.015	0.865	-0.339	0.627	0.271	0.304	1.010	0.860
C10orf57	1.119	0.612	0.704	0.505	-0.118	0.728	1.052	0.344	0.142	0.408	-0.096	0.405	0.086	-0.004	0.787	0.669	0.769	0.513	0.530	0.973	0.618	0.834	0.630
HINT3	1.727	0.478	-0.344	-0.728	0.581	0.542	0.742	-1.170	-0.463	-0.467	0.117	0.391	-0.541	-0.988	-0.354	-1.405	-1.096	-2.306	0.295	-1.203	-1.017	-0.318	-0.209
IFNG	3.288	3.277	2.862	6.404	0.427	1.095	4.121	5.601	1.949	6.056	5.236	2.920	3.965	5.955	1.713	4.897	6.486	2.477	5.202	5.739	4.414	3.684	4.770
AVPI1	-1.022	-1.267	-1.105	-1.706	-1.415	-1.450	-1.512	-1.472	-1.474	-1.133	-0.859	-2.040	-1.603	-1.914	-1.652	-1.165	-2.154	-1.861	-1.749	-1.267	-1.784	-1.575	-1.700
WDR12	-0.656	-1.221	-1.557	-1.337	-1.377	-1.234	-0.988	-1.680	-0.959	-0.954	-1.341	-1.167	-1.266	-1.811	-1.210	-1.532	-1.518	-1.730	-1.522	-1.109	-1.233	-1.343	-0.736
PLAC1L	0.702	0.423	-0.040	-0.381	0.615	2.200	-0.030	-0.425	0.537	1.019	0.137	0.436	0.383	1.494	0.426	0.166	2.010	0.829	-0.376	1.196	0.428	1.138	-0.109
ALPPL2	0.113	-0.355	-0.399	0.055	0.162	0.004	0.060	0.077	-0.008	0.292	0.170	0.433	-0.178	0.722	-0.503	-0.281	0.161	0.924	-0.184	-0.309	0.071	-0.410	-0.097
ATP2B3	0.497	0.106	-0.113	0.218	0.186	0.090	0.746	-0.251	0.360	0.382	0.471	0.624	0.192	-0.569	-0.093	-0.150	0.328	1.013	0.177	-0.085	0.706	0.377	0.383
GCA	1.374	1.297	1.066	0.806	1.131	1.182	1.603	0.900	2.074	0.945	1.220	1.369	1.230	0.371	1.299	0.543	0.939	-0.869	1.204	0.990	0.445	1.156	1.170
IL21R	0.659	0.159	0.547	1.769	-1.388	-0.998	-0.125	0.687	-0.325	1.258	1.353	1.519	-0.299	1.911	-0.050	0.418	2.755	-0.061	1.411	0.916	2.231	0.819	0.131
ZBTB45	0.568	0.144	0.091	1.104	0.252	0.626	0.136	0.822	0.529	1.055	0.753	1.135	0.496	1.127	0.303	0.384	0.201	0.917	0.344	0.646	0.642	0.539	0.030
LOC388284	1.233	1.306	1.174	-0.126	1.140	0.140	1.050	0.362	1.004	0.306	0.861	0.686	0.693	0.614	0.947	0.112	0.599	-0.002	0.974	0.828	-0.085	0.980	0.696
IKIP	-0.391	0.071	-0.513	0.453	-0.648	0.376	0.712	-0.316	0.835	0.279	0.351	1.124	0.005	0.363	0.554	-0.183	0.843	-0.963	0.258	-0.541	0.005	0.833	0.552
SFRS18	-1.401	-0.977	-0.502	0.112	-0.742	-0.989	-1.653	0.097	-0.715	-0.192	-1.472	-1.195	-0.824	-0.398	-0.840	-0.021	0.175	1.335	-0.819	-1.129	-0.219	-1.276	-1.099
GPR64	-1.446	0.173	-0.576	0.337	-1.066	-0.923	-0.077	-1.013	3.239	4.729	-1.122	0.488	-0.690	1.285	2.054	-0.100	-1.241	-2.056	0.063	-1.239	-0.771	-0.035	-1.204
CLEC12B	-0.143	1.964	2.815	2.655	-2.693	0.496	0.409	1.872	-0.355	1.831	-0.462	-0.481	-0.023	0.750	-0.165	0.978	2.076	1.319	-0.236	1.895	1.610	-0.191	1.522
OR8G5	0.558	0.084	0.122	0.308	-0.128	-0.522	-0.096	0.215	0.628	-0.868	-0.420	-0.310	0.936	0.313	0.276	-0.319	-0.831	-1.024	-0.432	-0.149	-0.433	-0.970	0.623
PRX	-0.448	-0.523	-0.242	-0.225	0.282	-0.325	-0.088	0.066	1.056	0.060	-0.096	-0.624	-0.035	-0.077	0.154	0.284	-0.138	0.355	-0.327	0.109	-0.113	0.508	0.099
PIP4K2A	-0.601	-0.261	-0.090	-0.295	-0.424	-0.010	-0.206	0.374	-0.366	0.351	0.499	-0.682	-0.288	0.272	-0.034	0.234	0.505	0.238	0.198	0.193	0.623	0.508	0.125
KLHDC8B	0.394	0.490	0.493	-0.118	-0.174	-0.577	-0.061	-0.528	0.123	0.464	0.915	-0.327	-0.248	-0.025	0.059	0.842	0.271	-0.013	1.018	0.322	-0.310	0.857	0.587
GYPE	-1.744	-1.625	-1.711	-2.647	-2.486	-2.019	-1.881	-2.410	-1.731	-2.220	-1.850	-1.667	-2.660	-1.699	-1.741	-2.375	-2.698	-2.215	-1.859	-2.116	-2.204	-1.745	-2.334
ALB	-4.173	-3.808	-3.962	-4.188	-4.038	-3.886	-3.871	-4.921	-4.744	-4.109	-4.466	-3.757	-4.753	-4.447	-4.827	-3.971	-4.858	-4.627	-3.951	-4.113	-4.738	-5.439	-5.465
PAMCI	-3.414	-1.764	-0.737	-2.965	-3.215	-3.212	-1.086	-3.552	-1.079	-2.031	-1.501	-1.957	-3.147	-1.722	-1.083	-1.776	-3.220	-3.396	-1.746	-1.581	-2.897	-1.768	-3.060
PAGE4	-2.187	-1.427	-1.270	-1.677	0.289	-1.163	-0.420	-2.401	-1.193	-2.020	-1.099	-0.051	-1.899	-0.864	-1.592	-2.444	-1.371	-1.066	-1.153	-1.443	-1.514	-2.204	-1.720
ZNF490	-0.310	-0.135	0.316	0.243	0.697	0.200	0.033	-0.241	0.211	0.156	-0.320	0.086	-0.064	0.113	0.506	0.331	0.634	0.046	0.460	0.813	0.668	0.649	0.818
TK2	2.187	0.069	0.588	0.292	1.166	0.306	0.099	0.366	0.996	0.456	0.486	1.363	0.638	1.016	0.484	1.075	0.574	0.924	0.656	0.963	1.018	0.693	0.690
SLC27A4	0.189	-0.798	-0.175	-1.112	0.598	-1.002	-1.247	-1.572	-1.549	-0.775	-0.960	-1.210	-1.054	-0.503	-1.320	-0.261	-0.557	-0.719	-0.664	-0.216	-0.308	-0.261	-0.198
RUFY1	0.057	1.437	1.282	0.883	0.562	0.588	-0.022	0.734	1.064	1.199	1.346	0.878	0.540	0.611	0.990	1.669	2.377	1.907	1.035	1.052	1.226	0.696	1.480
GZF1	-0.276	-0.663	-0.666	-1.043	-0.042	-0.173	-0.493	-0.224	-0.650	-0.210	-0.756	-0.775	-0.199	-0.010	-0.079	-0.763	-0.603	-1.240	-0.870	-0.048	-0.603	-0.219	-0.012
MXRA7	0.370	1.530	-0.594	1.589	1.068	0.341	1.856	0.391	2.373	1.421	1.007	0.015	1.597	0.752	1.215	0.416	0.111	1.023	2.018	1.104	1.562	2.069	-0.664
CD274	1.863	0.757	0.537	1.929	1.685	0.568	0.722	1.694	0.796	1.893	1.862	0.308	1.185	1.517	0.731	0.950	2.667	0.281	1.254	1.819	1.948	2.012	1.930
LYNX1	0.969	0.044	0.691	0.086	0.531	-0.081	0.074	0.067	1.405	0.391	0.246	0.534	0.634	0.601	-0.203	0.349	0.030	0.571	0.036	0.083	0.539	0.424	0.158
PRDM11	0.147	-0.158	-0.139	-0.268	0.919	0.446	-0.030	0.472	0.349	-0.245	-0.031	0.001	0.432	0.351	0.175	-0.179	0.336	0.815	0.024	0.904	0.467	0.287	0.355
NUP107	-1.590	-1.461	-2.109	-0.704	-1.197	-1.190	-1.466	-0.373	-1.093	-1.292	-1.527	-1.082	-1.708	-1.173	-0.871	-0.864	-1.106	-1.369	-1.278	-1.652	-1.369	-0.943	-1.224
MAT1A	-3.002	-4.554	-4.482	-3.514	-3.922	-4.231	-4.693	-5.247	-4.705	-2.136	-3.867	-3.218	-5.076	-2.624	-5.268	-3.444	-4.215	0.673	-4.384	-4.042	-2.389	-4.702	-3.596
C9orf127	0.954	-0.443	0.560	-0.507	1.838	0.021	-0.480	-0.148	-0.127	-0.156	-0.445	-0.209	-0.133	-0.340	0.191	0.080	-0.671	0.489	-0.224	-0.005	-0.217	0.295	0.131
ZNF319	0.389	-0.501	0.136	-0.126	0.543	0.243	-0.530	0.475	0.851	0.422	-0.168	-0.133	-0.110	0.698	0.679	0.382	0.453	0.206	0.387	0.750	0.511	0.950	1.050
PHACTR1	-1.264	-1.315	-1.292	1.186	-2.409	-2.030	-1.880	-1.512	0.234	-0.041	-1.171	-1.247	-1.680	-0.080	-1.503	0.168	-1.821	0.613	-1.611	-0.890	-1.278	-1.819	-2.261
UGCGL2	-0.119	-0.419	-0.839	-0.571	-0.208	-0.187	-0.154	-0.308	-0.140	-0.640	-1.034	-0.873	-0.501	-1.383	-0.089	-0.721	-1.302	-1.044	-0.459	-0.644	-0.952	-0.393	-0.564
TSG101	1.094	0.659	0.418	0.429	1.565	0.901	0.917	0.712	0.709	0.260	0.497	0.476	0.640	0.524	0.807	0.191	0.433	0.329	0.559	0.532	0.329	0.578	0.658
ENTPD6	-0.097	-0.368	0.142	-0.012	-0.593	-0.723	-0.615	-0.741	-0.329	-0.026	-0.273	-0.296	-0.287	0.548	-0.714	-0.253	0.262	0.215	-0.504	0.019	-0.619	-0.656	0.132
TIGD3	-1.161	-0.270	-0.803	-0.870	-1.708	-0.020	-0.386	0.217	-0.934	-0.499	-0.313	-0.797	-0.252	-0.196	-0.836	-1.474	-0.913	-0.655	-0.817	-0.202	-1.518	-0.825	0.320
FLJ22795	-1.341	-2.278	-1.784	-0.762	-1.806	-1.921	-2.554	-1.312	-0.663	-0.917	-1.978	-1.401	-1.660	-1.214	-2.041	-0.720	-1.216	0.558	-2.410	-1.969	-1.194	-1.885	-1.880
FAM80A	1.284	1.862	1.837	0.657	-1.000	3.326	3.584	2.625	2.157	2.745	2.215	1.775	2.842	3.656	1.821	0.611	-0.359	1.466	2.019	0.071	1.239	3.378	3.978
DPM2	0.581	0.051	0.554	0.072	-0.001	-0.038	-0.161	-0.532	-0.703	0.048	-0.176	0.649	0.174	0.051	-0.708	0.136	-0.545	-0.046	-0.385	-0.287	-0.001	-0.040	-0.466
TPRKB	-0.263	-0.619	-0.569	-0.482	-0.868	0.224	0.260	-0.310	-0.380	-0.608	0.005	0.068	-0.423	-0.710	-0.026	-0.650	-1.542	-0.398	0.085	-0.425	-0.592	-0.382	-0.618
NMUR1	0.345	2.741	3.100	2.422	2.310	2.464	2.995	3.784	3.548	2.817	2.151	2.559	2.260	3.969	3.220	2.912	1.922	3.139	4.040	2.881	3.284	3.673	3.204
C5orf3	1.310	1.500	1.284	0.587	1.414	1.274	1.370	0.927	1.055	0.946	1.415	1.332	1.266	0.760	1.224	0.740	0.694	-0.182	1.375	0.595	0.915	1.236	1.010
